Unic Identifier,Database,Gene,Species,TaxID,Last update,Sequence version
UPI0007DD203A,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2124,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD215F,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD21DC,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD230B,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2317,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD2400,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD24EC,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2520,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD267A,UniProtKB/TrEMBL,ND5,Mammuthus jeffersonii,1851652,2023-06-28,1
UPI0007DD26AD,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2763,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD284E,UniProtKB/TrEMBL,ND3,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DD2854,UniProtKB/TrEMBL,ND5,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD2A00,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2ADB,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2E4E,UniProtKB/TrEMBL,ATP8,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2EA7,UniProtKB/TrEMBL,COX1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD3191,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD31F3,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD3247,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD340B,UniProtKB/TrEMBL,COX2,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD3583,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD360E,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD36B5,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD36B7,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD3743,UniProtKB/TrEMBL,COX2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD3771,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD3864,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD38A8,UniProtKB/TrEMBL,ND4,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD38C8,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD39C9,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD39EA,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD3CF4,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD3D5F,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD3DA8,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD3E6E,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD3EF5,UniProtKB/TrEMBL,COX1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD4098,UniProtKB/TrEMBL,ND4L,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD40BA,UniProtKB/TrEMBL,ND2,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD416F,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD419C,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD437E,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD43F4,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD4411,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD44A7,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD44D5,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD4581,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD45B4,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD462C,UniProtKB/TrEMBL,COX1,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD4A39,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD4A49,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD4A4A,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD4C2F,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD4D12,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD4DEA,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD4F38,UniProtKB/TrEMBL,ATP8,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD501D,UniProtKB/TrEMBL,ND5,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD5161,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD5271,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD533A,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD53B6,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD5438,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD5490,UniProtKB/TrEMBL,ND4L,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD55BE,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD5691,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD57DC,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD5868,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD5896,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD58EA,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD5A1A,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD5A59,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD5AA6,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD5B93,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD5CA8,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD5CCC,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD5D84,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD5EAA,UniProtKB/TrEMBL,ND4,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD5EDC,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD60F7,UniProtKB/TrEMBL,CYTB,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD628A,UniProtKB/TrEMBL,ND4L,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DD6390,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD643F,UniProtKB/TrEMBL,ND4L,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD64DD,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD65A8,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD6635,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD6872,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD69F1,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD6A06,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD6B54,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD6C5C,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD6CFC,UniProtKB/TrEMBL,CYTB,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DD6EB2,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD6FE3,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD7191,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD71C2,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD71CA,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD723C,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD74DA,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD7516,UniProtKB/TrEMBL,ATP6,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD7539,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD76BC,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD7783,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD78E6,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD795B,UniProtKB/TrEMBL,ND2,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD7A43,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD7B69,UniProtKB/TrEMBL,COX1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD7B77,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD7BED,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD7BEE,UniProtKB/TrEMBL,ATP6,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD7CA1,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD7CBE,UniProtKB/TrEMBL,ND5,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD7D05,UniProtKB/TrEMBL,ATP6,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD7D0C,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD7FEA,UniProtKB/TrEMBL,COX3,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD803F,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD812C,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD84CC,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD8650,UniProtKB/TrEMBL,COX1,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD865F,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD8706,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD8798,UniProtKB/TrEMBL,ND4,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DD8838,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD8948,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD897E,UniProtKB/TrEMBL,,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD89B4,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD8C23,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD8CB4,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD8D20,UniProtKB/TrEMBL,ND3,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD8D48,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD8EA6,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD8F19,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD8F59,UniProtKB/TrEMBL,COX1,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD8F77,UniProtKB/TrEMBL,ND5,Mammuthus jeffersonii,1851652,2023-06-28,1
UPI0007DD8FF4,UniProtKB/TrEMBL,ND1,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD9255,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD92B0,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD935C,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD950E,UniProtKB/TrEMBL,ATP8,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD9668,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD96A8,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD96CA,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD976E,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD979C,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD9949,UniProtKB/TrEMBL,ATP6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD9969,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD9EC6,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD9F3D,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD9F62,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD9F6F,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDA375,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDA440,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDA47F,UniProtKB/TrEMBL,ND1,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DDA608,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDA614,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDA705,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDA720,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDA7BE,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDAABE,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDAD29,UniProtKB/TrEMBL,ATP8,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DDAE38,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDAEF3,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDAF00,UniProtKB/TrEMBL,ND2,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DDAF5B,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDB03F,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDB0D1,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDB15B,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDB2B3,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDB3A1,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDB3B0,UniProtKB/TrEMBL,ND6,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DDB5AA,UniProtKB/TrEMBL,COX2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDB67C,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDB7BB,UniProtKB/TrEMBL,COX3,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DDB9D2,UniProtKB/TrEMBL,ATP6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDBA24,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDBA2E,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDBA67,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDBAC0,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDBB9C,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDC05A,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDC0D7,UniProtKB/TrEMBL,COX2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDC205,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDC259,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDC335,UniProtKB/TrEMBL,COX1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDC381,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDC3A9,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDC3CC,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDC422,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDC45E,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDC49D,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDC5DC,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDC654,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDC836,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDCAA8,UniProtKB/TrEMBL,ATP6,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DDCCC4,UniProtKB/TrEMBL,ND4,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DDCD07,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDCDBE,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDCDE7,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDCEE3,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDCEEF,UniProtKB/TrEMBL,ND4L,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DDCF4D,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDCFBD,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDD018,UniProtKB/TrEMBL,ND2,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DDD052,UniProtKB/TrEMBL,ATP8,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDD1A3,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDD2FB,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDD315,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDD357,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDD424,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDD443,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDD447,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDD54D,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDD551,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDD591,UniProtKB/TrEMBL,ATP6,Mammuthus jeffersonii,1851652,2023-06-28,1
UPI0007DDD7A8,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDD7FD,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDD7FE,UniProtKB/TrEMBL,COX1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDDADE,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDDC24,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDDF7C,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDDF96,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDDFC1,UniProtKB/TrEMBL,ATP8,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDE039,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDE08D,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDE115,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDE19B,UniProtKB/TrEMBL,ND4L,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDE4AF,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDE759,UniProtKB/TrEMBL,ND4L,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DDE7A8,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDE846,UniProtKB/TrEMBL,ATP8,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDE880,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDE891,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDE92B,UniProtKB/TrEMBL,CYTB,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DDECAA,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDED22,EMBL,COX3,Mammuthus exilis,1851653,2022-10-31,1
UPI0007DDEE75,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDEE82,UniProtKB/TrEMBL,CYTB,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DDEF1C,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDEF6A,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDEF6B,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DDEF88,UniProtKB/TrEMBL,COX2,Mammuthus jeffersonii,1851652,2023-06-28,1
UPI0007DDEF94,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
